stock_code,description,total_revenue,total_quantity,total_orders,average_price
16238,PARTY TIME PENCIL ERASERS,321.67,1396,134,0.3123880597014925
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7.85,7,2,1.225
16248B,BLUE HOLE PUNCH,16.25,13,7,1.25
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,42.58,40,17,1.3088235294117647
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,178.97,472,59,0.5913559322033898
16259,PIECE OF CAMO STATIONERY SET,326.56,3380,31,0.0967741935483871
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,20.88,72,1,0.29
17003,BROCADE RING PURSE,6025.95,23020,239,0.363402489626556
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,50.400000000000006,24,2,2.1
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,66.36,81,7,1.572857142857143
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,375.93,323,65,1.9546969696969696
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,595.85,525,85,1.8828235294117646
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,481.79999999999995,420,85,1.7676470588235293
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,547.24,461,97,1.8228865979381443
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,62.64,44,10,2.3169999999999997
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,530.6,448,94,1.7973404255319148
17013D,ORIGAMI ROSE INCENSE IN TUBE,267.82,535,13,1.2453846153846153
17014A,ORIGAMI VANILLA INCENSE CONES,71.19,155,8,0.9512499999999999
17021,NAMASTE SWAGAT INCENSE,632.34,2391,47,0.29411764705882354
17028J,INCENSE BAZAAR PEACH,2.52,6,1,0.42
17038,PORCELAIN BUDAH INCENSE HOLDER,158.06,1525,34,0.42
17084A,TRANQUILITY MASALA INCENSE,42,200,7,0.21
17084J,LOVE POTION MASALA INCENSE,47.25,225,8,0.21
17084N,FAIRY DREAMS INCENSE,313.31,1264,101,0.35386138613861384
17084P,DRAGONS BLOOD INCENSE,104.44,423,39,0.3507692307692308
17084R,ASSORTED INCENSE PACK,760.3199999999999,4032,27,0.20259259259259257
17090A,LAVENDER INCENSE 40 CONES IN TIN,107.44999999999999,109,10,1.17
17090D,VANILLA INCENSE 40 CONES IN TIN,36.25,29,12,1.25
17091A,LAVENDER INCENSE IN TIN,98.91,171,25,0.7976
17091J,VANILLA INCENSE IN TIN,920.67,2084,95,0.7027272727272728
17096,ASSORTED LAQUERED INCENSE HOLDERS,455.9800000000001,2545,24,0.3025
17107D,FLOWER FAIRY 5 DRAWER LINERS,150.45,59,20,2.55
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,15.299999999999999,6,1,2.55
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",267.75,105,25,2.55
17109D,FLOWER FAIRY INCENSE BOUQUET,32.35,61,5,0.904
17129F,BLUE GLASS GEMS IN BAG,553.8299999999999,588,57,1.3699999999999999
17136A,BLUE STONES ON WIRE FOR CANDLE,29.59,352,17,0.10294117647058823
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,11.34,27,9,0.42
17165D,ASS COL LARGE SAND FROG P'WEIGHT,28.35,27,7,1.05
17174,ASSTD RASTA KEY-CHAINS,3.7800000000000002,9,3,0.42
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,15,4,2,3.75
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,395.61,5884,30,0.27483870967741936
18094C,WHITE AND BLUE CERAMIC OIL BURNER,283.93,192,42,1.9559523809523809
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,12.75,5,4,2.55
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1591.01,695,69,3.114782608695652
18098C,PORCELAIN BUTTERFLY OIL BURNER,658.75,213,49,3.680980392156863
18098c,PORCELAIN BUTTERFLY OIL BURNER,263.12,52,12,5.06
20615,BLUE POLKADOT PASSPORT COVER,466.99,309,95,2.5613684210526317
20616,CHERRY BLOSSOM PASSPORT COVER,243.53,194,71,1.8074647887323942
20617,FIRST CLASS PASSPORT COVER,194.94,93,43,2.251860465116279
20618,QUEEN OF THE SKIES PASSPORT COVER,286.39,148,76,2.0278947368421054
20619,TROPICAL PASSPORT COVER,439.65,262,99,2.136767676767677
20622,VIP PASSPORT COVER,94.04,43,17,2.375294117647059
20622,VIPPASSPORT COVER,209.66,142,34,2.421764705882353
20652,BLUE POLKADOT LUGGAGE TAG,346.86,265,78,1.5758974358974358
20653,CHERRY BLOSSOM LUGGAGE TAG,95.17999999999999,73,33,1.4815151515151515
20654,FIRST CLASS LUGGAGE TAG,193.59,152,49,1.385
20655,QUEEN OF SKIES LUGGAGE TAG,292.29,197,99,1.7224242424242424
20657,TROPICAL LUGGAGE TAG,105.91,73,33,1.720909090909091
20658,RED RETROSPOT LUGGAGE TAG,652.11,433,105,1.7522429906542056
20659,ECONOMY LUGGAGE TAG,246.84,158,62,1.63984375
20661,BLUE POLKADOT PURSE,141.15,44,33,3.397878787878788
20662,FIRST CLASS HOLIDAY PURSE,90.42,31,20,2.879
20663,QUEEN OF THE SKIES HOLIDAY PURSE,66.25999999999999,25,20,2.693
20664,TROPICAL HOLIDAY PURSE,81.66,32,18,2.5416666666666665
20665,RED RETROSPOT PURSE,1546.2700000000002,461,156,4.068333333333333
20666,ECONOMY HOLIDAY PURSE,41.53,30,17,1.7123529411764706
20667,CHERRY BLOSSOM PURSE,49.69,20,16,2.490625
20668,DISCO BALL CHRISTMAS DECORATION,1501.4,12883,215,0.16444954128440367
20669,RED HEART LUGGAGE TAG,447.34,304,96,1.6915841584158415
20670,VIP HOLIDAY PURSE,44.04,14,11,3.2436363636363637
20671,BLUE TEATIME PRINT BOWL,12.5,10,2,1.25
20674,GREEN POLKADOT BOWL,2016.23,1563,205,1.5633009708737864
20675,BLUE POLKADOT BOWL,3983.1200000000003,3120,322,1.5869753086419753
20676,RED RETROSPOT BOWL,6374.81,5023,448,1.6317516629711752
20677,PINK POLKADOT BOWL,4747.34,3674,333,1.6501483679525222
20678,LARGE BLACK DIAMANTE HAIRSLIDE,6.6,4,1,1.65
20679,EDWARDIAN PARASOL RED,10021.42,1710,326,7.003669724770642
20681,PINK POLKADOT CHILDRENS UMBRELLA,506.96,140,46,4.205744680851064
20682,RED RETROSPOT CHILDRENS UMBRELLA,4171.33,1235,237,4.018487394957983
20684,STRAWBERRY DREAM CHILDS UMBRELLA,270.56,80,35,3.5517142857142856
20685,DOORMAT RED RETROSPOT,28049.54,4088,696,8.953529411764706
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,922.67,267,77,3.8718181818181816
20694,FLORAL PINK MONSTER,187.54,43,16,5.078235294117647
20695,FLORAL BLUE MONSTER,21.25,5,4,4.25
20696,FLORAL SOFT CAR TOY,230.81,54,30,4.722
20697,LITTLE GREEN MONSTER SOFT TOY,48.449999999999996,19,11,2.55
20698,LITTLE PINK MONSTER SOFT TOY,43.349999999999994,17,8,2.55
20699,MOUSEY LONG LEGS SOFT TOY,266.03,97,41,3.004878048780488
20700,GREEN CAT FLORAL CUSHION COVER,345.17,73,54,4.981111111111111
20701,PINK CAT FLORAL CUSHION COVER,100.97,25,18,4.066666666666666
20702,PINK PADDED MOBILE,573.54,134,42,4.346190476190476
20703,BLUE PADDED SOFT MOBILE,4.25,1,1,4.25
20704,MR ROBOT SOFT TOY,697.7,216,44,5.847727272727273
20705,MRS ROBOT SOFT TOY,428.85,143,28,4.807142857142857
20707,CRAZY DAISY HEART DECORATION,468.39,464,149,1.0885906040268456
20711,JUMBO BAG TOYS,11014.62,5007,522,3.1267175572519084
20712,JUMBO BAG WOODLAND ANIMALS,22092.420000000002,9773,863,2.9266168009205984
20713,JUMBO BAG OWLS,23001.06,11429,657,2.7772809667673717
20716,PARTY FOOD SHOPPER BAG,469.63,400,73,1.3158108108108109
20717,STRAWBERRY SHOPPER BAG,3561.98,2855,412,1.6730215827338129
20718,RED RETROSPOT SHOPPER BAG,6604.29,4769,575,1.7783737024221453
20719,WOODLAND CHARLOTTE BAG,16744.45,13290,833,1.2108571428571429
20723,STRAWBERRY CHARLOTTE BAG,12548.15,9793,722,1.2022176308539945
20724,RED RETROSPOT CHARLOTTE BAG,21773.39,17761,1032,1.1461973180076628
20725,LUNCH BAG RED RETROSPOT,35572.36,19232,1564,2.131853257432005
20725,LUNCH BAG RED SPOTTY,290,200,1,1.45
20726,LUNCH BAG WOODLAND,18283.78,9909,1017,2.181844660194175
20727,LUNCH BAG  BLACK SKULL.,22346.96,12195,1273,2.1077863182167564
20728,LUNCH BAG CARS BLUE,21699.48,11786,1150,2.0635800344234076
20731,POSY CANDY BAG,109.96,92,16,1.0925
20733,GOLD MINI TAPE MEASURE,956.36,1234,205,0.845873786407767
20734,SILVER MINI TAPE MEASURE,271.21999999999997,158,26,1.7962962962962963
20735,BLACK MINI TAPE MEASURE,625.8,623,112,1.1194642857142856
20748,KENSINGTON COFFEE SET,751.17,57,34,13.468235294117648
20749,ASSORTED COLOUR MINI CASES,12550.57,1762,383,8.065298701298701
20750,RED RETROSPOT MINI CASES,12634.98,1747,385,8.121839378238342
20751,FUNKY WASHING UP GLOVES ASSORTED,2041.5200000000002,971,198,2.3687192118226603
20752,BLUE POLKADOT WASHING UP GLOVES,920.45,407,148,2.41722972972973
20754,RETROSPOT RED WASHING UP GLOVES,3088.86,1457,304,2.5132573289902282
20755,BLUE PAISLEY POCKET BOOK,271.16999999999996,306,62,0.9903225806451612
20756,GREEN FERN POCKET BOOK,53.55,63,22,0.85
20757,RED DAISY POCKET BOOK,136.64,158,33,0.9188235294117647
20758,ABSTRACT CIRCLES POCKET BOOK,135.15,159,42,0.85
20759,CHRYSANTHEMUM POCKET BOOK,54.4,64,20,0.85
20760,GARDEN PATH POCKET BOOK,58.65,69,21,0.85
20761,BLUE PAISLEY SKETCHBOOK,505.97,120,63,4.461746031746031
20762,GREEN FERN SKETCHBOOK,420.08,106,56,4.153214285714285
20763,DAISY SKETCHBOOK,205.04,73,27,3.982962962962963
20764,ABSTRACT CIRCLES SKETCHBOOK,603.31,142,76,4.66961038961039
20765,CHRYSANTHEMUM SKETCHBOOK,416.05,102,59,4.255762711864406
20766,GARDEN PATH SKETCHBOOK,493.57,122,57,4.450862068965518
20767,BLUE PAISLEY JOURNAL,656.06,250,79,2.8722784810126583
20768,GREEN FERN JOURNAL,438.57,176,55,2.647272727272727
20769,DAISY JOURNAL,217.56,80,34,2.7467647058823528
20770,ABSTRACT CIRCLE JOURNAL,447.25,184,72,2.4995833333333333
20771,CHRYSANTHEMUM  JOURNAL,267.13,102,40,2.7685
20772,GARDEN PATH JOURNAL,621.1899999999999,247,65,2.752153846153846
20773,BLUE PAISLEY NOTEBOOK,92.39999999999999,56,23,1.65
20774,GREEN FERN NOTEBOOK,141.23999999999998,86,44,1.6406666666666665
20775,DAISY NOTEBOOK,233.54,134,63,1.7179687499999998
20777,CHRYSANTHEMUM NOTEBOOK,282.48999999999995,169,80,1.7029999999999998
20778,GARDEN PATH NOTEBOOK,24.749999999999996,15,8,1.65
20780,BLACK EAR MUFF HEADPHONES,312.7,47,28,7.693793103448276
20781,GOLD EAR MUFF HEADPHONES,212.26,35,25,6.0732
20782,CAMOUFLAGE EAR MUFF HEADPHONES,368.08,53,27,7.535185185185185
20785,FUSCHIA RETRO BAR STOOL,523.3000000000001,14,5,39.150000000000006
20793,BLUE TILED TRAY,54,8,4,6.75
20794,BLUE  TILE HOOK,282.78999999999996,99,27,3.573928571428571
20795,LARGE BLUE PROVENCAL CERAMIC BALL,113.05000000000001,49,11,2.653636363636364
20796,SMALL BLUE PROVENCAL CERAMIC BALL,103.94,62,9,1.8322222222222222
20798,CLEAR MILKSHAKE GLASS,75.60000000000001,36,5,2.1
20801,LARGE PINK GLASS SUNDAE DISH,1157.8,1013,81,1.610731707317073
20802,SMALL GLASS SUNDAE DISH CLEAR,984.4699999999999,739,63,1.942063492063492
20803,SMALL PINK GLASS SUNDAE DISH,476.38,939,40,1.1465
20816,GOLD FLOWER CUSHION COVER,15.6,8,2,1.95
20818,GOLD TEDDY BEAR,42.7,15,5,5.54
20819,SILVER TEDDY BEAR,244.72,64,27,4.016666666666667
20820,SILVER LOOKING MIRROR,24.75,5,2,4.95
20821,GOLDIE LOOKING MIRROR,84.15,17,6,4.95
20823,GOLD WINE GOBLET,129.56,164,8,0.79
20826,SILVER APERITIF GLASS,128.4,276,8,0.8225
20827,GOLD APERITIF GLASS,34.32,88,2,0.39
20828,GLITTER BUTTERFLY CLIPS,3074.7799999999997,1128,241,3.166290322580645
20829,GLITTER HANGING BUTTERFLY STRING,2722.9500000000003,1314,194,2.452060301507538
20830,SILVER PHOTO FRAME,409.83,136,37,3.0435135135135134
20831,GOLD PHOTO FRAME,466.53000000000003,216,39,2.737948717948718
20832,RED FLOCK LOVE HEART PHOTO FRAME,572.67,1067,82,0.7425301204819277
20835,FRENCH LATTICE CUSHION COVER,65.8,67,8,2.10375
20836,FRENCH PAISLEY CUSHION COVER,141.1,170,17,0.83
20837,FRENCH FLORAL CUSHION COVER,142.47,141,15,0.9713333333333333
20838,FRENCH LATTICE CUSHION COVER,461.45,385,57,1.8773684210526316
20839,FRENCH PAISLEY CUSHION COVER,840.4399999999999,575,105,2.385047619047619
20840,FRENCH FLORAL CUSHION COVER,632.3199999999999,533,74,2.004
20845,ZINC HEART LATTICE 2 WALL PLANTER,120.64999999999999,19,11,6.35
20846,ZINC HEART LATTICE T-LIGHT HOLDER,957.32,716,88,1.6134831460674157
20847,ZINC HEART LATTICE CHARGER LARGE,217.58,52,18,4.592222222222222
20848,ZINC HEART LATTICE CHARGER SMALL,61.95,21,8,2.95
20851,ZINC HEART LATTICE TRAY OVAL,53.550000000000004,9,7,5.95
20854,BLUE PATCH PURSE PINK HEART,383.02,242,41,1.685609756097561
20856,DENIM PATCH PURSE PINK BUTTERFLY,357.28999999999996,216,61,1.670327868852459
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,52.8,32,8,1.65
20860,GOLD COSMETICS BAG WITH BUTTERFLY,2.1,1,1,2.1
20861,GOLD COSMETIC BAG PINK STAR,4.2,2,2,2.1
20866,BLUE ROSE FABRIC MIRROR,709.7,597,90,1.4886666666666666
20867,PINK ROSE FABRIC MIRROR,393.46999999999997,331,62,1.3503225806451613
20868,SILVER FABRIC MIRROR,219.35000000000002,458,46,0.7071739130434782
20869,GOLD FABRIC MIRROR,86.76,180,29,0.716
20871,OPULENT VELVET SET/3 CANDLES,8.42,2,1,4.21
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED,30,24,7,1.25
20886,BOX OF 9 PEBBLE CANDLES,986.23,485,103,2.4765384615384614
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,89.22,4,3,21.243333333333332
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,609.02,268,26,3.058076923076923
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,108.71000000000001,33,15,3.7073333333333336
20897,VINTAGE NOTEBOOK PARIS DAYS,298.27,107,24,3.1816666666666666
20898,VINTAGE NOTEBOOK TRAVELOGUE,105.73,38,13,2.6350000000000002
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,85.13,19,15,4.426
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,686.86,112,56,6.938035714285714
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,441.89,82,56,5.576964285714285
20906,VINTAGE NOTEBOOK BEAUTY GIRL,8.850000000000001,3,2,2.95
20910,VINTAGE PHOTO ALBUM PARIS DAYS,50.8,8,3,6.35
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,17623.350000000002,6073,879,3.289372197309417
20914,SET/5 RED SPOTTY LID GLASS BOWLS,734.4,288,1,2.55
20931,BLUE POT PLANT CANDLE,1060.9,299,68,5.0600000000000005
20932,PINK POT PLANT CANDLE,628.7900000000001,204,35,4.676
20933,YELLOW POT PLANT CANDLE,71.05,23,9,3.1277777777777778
20934,SET/3 POT PLANT CANDLES,424.46,68,32,7.133125
20935,ROUND CACTUS CANDLE,17.700000000000003,6,4,2.95
20936,FORKED CACTUS CANDLE,319.66,100,34,3.7341176470588238
20941,FROG CANDLE,83.78,64,19,1.376
20954,*USB Office Mirror Ball,16.94,2,2,8.47
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,1146.52,822,101,1.7798039215686274
20960,WATERMELON BATH SPONGE,72.49,29,10,2.4899999999999998
20961,STRAWBERRY BATH SPONGE,1745.43,1232,228,1.7937554585152837
20963,APPLE BATH SPONGE,1911.17,1336,229,1.8230172413793102
20964,POLYESTER FILLER PAD 60x40cm,5.1,2,1,2.55
20966,SANDWICH BATH SPONGE,1022.8,719,97,1.9605154639175257
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,1027.94,265,83,4.115301204819277
20969,RED FLORAL FELTCRAFT SHOULDER BAG,7229.43,1960,305,4.268562091503268
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,4232.13,1116,262,4.193650190114068
20971,PINK BLUE FELT CRAFT TRINKET BOX,13828.1,10993,522,1.420722433460076
20972,PINK CREAM FELT CRAFT TRINKET BOX,9128.06,7337,616,1.4245659163987139
20973,12 PENCIL SMALL TUBE WOODLAND,3210.27,4497,355,0.7885479452054794
20974,12 PENCILS SMALL TUBE SKULL,4527.43,6976,355,0.7523415977961433
20975,12 PENCILS SMALL TUBE RED RETROSPOT,4383.27,6633,362,0.7378688524590165
20977,36 PENCILS TUBE WOODLAND,2328.64,1739,185,1.5118279569892472
20978,36 PENCILS TUBE SKULLS,2395.05,1795,263,1.6181954887218044
20979,36 PENCILS TUBE RED RETROSPOT,4723.7300000000005,3734,325,1.5887384615384614
20980,36 PENCILS TUBE POSY,76.91,79,20,1.061
20981,12 PENCILS TALL TUBE WOODLAND,1740.57,1974,249,0.96316
20982,12 PENCILS TALL TUBE SKULLS,1880.6699999999998,2151,256,0.957104247104247
20983,12 PENCILS TALL TUBE RED RETROSPOT,2374.81,2737,268,0.9340072202166064
20984,12 PENCILS TALL TUBE POSY,1166.07,3785,170,0.38602272727272724
20985,HEART CALCULATOR,1540.59,1179,131,1.6459558823529412
20986,BLUE CALCULATOR RULER,829.74,654,113,1.593706896551724
20992,JAZZ HEARTS PURSE NOTEBOOK,1944.6299999999999,4425,277,0.5452577319587629
20996,JAZZ HEARTS ADDRESS BOOK,726.8900000000001,3191,225,0.3208407079646018
20997,ROSE DU SUD CUSHION COVER,257.61,59,34,4.274705882352941
20998,ROSE DU SUD OVEN GLOVE,505.20000000000005,185,69,2.6623188405797102
21000,ROSE DU SUD COSMETICS BAG,360.84,96,52,3.6173076923076923
21001,ROSE DU SUD WASHBAG,348.19,73,50,4.6192
21002,ROSE DU SUD DRAWSTRING BAG,428.66,125,66,3.3995454545454544
21003,ROSE DU SUD CUSHION COVER,460.58,78,46,5.887391304347826
21009,ETCHED GLASS STAR TREE DECORATION,1.25,1,1,1.25
21011,GLITTER SNOW PEAR TREE DECORATION,29,20,3,1.45
21012,ANTIQUE ALL GLASS CANDLESTICK,2614.05,1169,199,2.3111940298507463
21014,SWISS CHALET TREE DECORATION,598.8199999999999,1385,119,0.6728455284552846
21015,DARK BIRD HOUSE TREE DECORATION,589.55,1483,142,0.6625174825174825
21018,BIRD BOX CHRISTMAS TREE DECORATION,22.06,24,6,1.0871428571428572
21025,SPACE FROG,233.52,174,56,1.5507142857142857
21026,SPACE OWL,315.75,255,68,1.5561764705882353
21027,NINJA RABBIT PINK,187.79,167,42,1.1130232558139534
21028,NINJA RABBIT BLACK,239.24,187,58,1.5422413793103449
21030,SPACE CADET RED,159.7,131,33,1.1894117647058824
21031,SPACE CADET BLACK,64.24,52,19,1.2942105263157895
21032,SPACE CADET WHITE,117.78,97,30,1.3816666666666666
21033,JUMBO BAG CHARLIE AND LOLA TOYS,4851.73,1932,300,3.2029
21034,REX CASH+CARRY JUMBO SHOPPER,1784.1,1878,871,0.95
21035,SET/2 RED RETROSPOT TEA TOWELS,8536.85,2599,394,4.550554156171285
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,86.75,77,23,1.1656521739130434
21039,RED RETROSPOT SHOPPING BAG,1353.6899999999998,523,90,3.0876666666666663
21040,MODERN VINTAGE COTTON SHOPPING BAG,29.7,22,8,1.67
21041,RED RETROSPOT OVEN GLOVE DOUBLE,3888.98,914,255,4.408677042801557
21042,RED RETROSPOT APRON,2199.52,334,131,7.2344776119402985
21043,APRON MODERN VINTAGE COTTON,1139.86,492,90,2.9795555555555553
21051,RIBBONS PURSE,377.2,192,51,2.046666666666667
21054,NURSE'S BAG SOFT TOY,634.53,70,29,9.226896551724137
21055,TOOL BOX SOFT TOY,1764.6399999999999,178,105,10.455428571428572
21056,DOCTOR'S BAG SOFT TOY,1765.3999999999999,184,72,10.123333333333333
21058,PARTY INVITES WOODLAND,965.66,1154,122,0.9721774193548387
21059,PARTY INVITES DINOSAURS,528.23,611,94,0.9231914893617021
21060,PARTY INVITES BALLOON GIRL,359.28999999999996,405,71,0.9466197183098591
21061,PARTY INVITES FOOTBALL,451.7,488,83,1.0548192771084337
21062,PARTY INVITES SPACEMAN,457.38,538,74,0.8575675675675676
21063,PARTY INVITES JAZZ HEARTS,458.30999999999995,528,102,0.9322549019607843
21064,BOOM BOX SPEAKER BOYS,1281.2,296,101,4.858349514563107
21065,BOOM BOX SPEAKER GIRLS,1160.58,562,90,4.37054347826087
21066,VINTAGE RED MUG,693.47,702,54,1.5331481481481481
21067,VINTAGE RED TEATIME MUG,504.15,317,76,1.7896103896103897
21068,VINTAGE BILLBOARD LOVE/HATE MUG,1890.3300000000002,1638,198,1.669396984924623
21069,VINTAGE BILLBOARD TEA MUG,2250.52,1949,86,1.7434883720930232
21070,VINTAGE BILLBOARD MUG,1184.98,1106,107,1.6324074074074073
21071,VINTAGE BILLBOARD DRINK ME MUG,1380.28,991,177,1.7107262569832402
21078,SET/20 STRAWBERRY PAPER NAPKINS,2531.04,2769,313,1.2559047619047619
21080,SET/20 RED RETROSPOT PAPER NAPKINS,11312.56,13202,986,1.0935721393034825
21082,SET/20 FRUIT SALAD PAPER NAPKINS,143.44,88,25,1.63
